Input,Output
My Chest tightness,is
My Chest tightness is,getting
My Chest tightness is getting,worse.
Can,you
Can you,Operate
Can you Operate,me
Can you Operate me,with
Can you Operate me with,my
Can you Operate me with my,Mood
Can you Operate me with my Mood,swings?
We,need
We need,to
We need to,Analyze
We need to Analyze,the
We need to Analyze the,Hospital
We need to Analyze the Hospital,cafeteria.
You,might
You might,be
You might be,experiencing
You might be experiencing,Recurring
You might be experiencing Recurring,Burning
You might be experiencing Recurring Burning,sensation.
Our,Maternity
Our Maternity,ward
Our Maternity ward,needs
Our Maternity ward needs,better
Our Maternity ward needs better,equipment.
Should,I
Should I,visit
Should I visit,the
Should I visit the,Billing
Should I visit the Billing,counter?
Can,you
Can you,Explain
Can you Explain,me
Can you Explain me,with
Can you Explain me with,my
Can you Explain me with my,Neck
Can you Explain me with my Neck,pain?
You,might
You might,be
You might be,experiencing
You might be experiencing,Sudden
You might be experiencing Sudden,Palpitations.
Can,you
Can you,Intubate
Can you Intubate,me
Can you Intubate me,with
Can you Intubate me with,my
Can you Intubate me with my,Weakness?
Where,is
Where is,the
Where is the,Burn
Where is the Burn,unit?
Should,I
Should I,visit
Should I visit,the
Should I visit the,Intensive
Should I visit the Intensive,care
Should I visit the Intensive care,unit?
Can,you
Can you,Bandage
Can you Bandage,me
Can you Bandage me,with
Can you Bandage me with,my
Can you Bandage me with my,Runny
Can you Bandage me with my Runny,nose?
I,have
I have,a
I have a,Burning
I have a Burning,Constipation.
Can,you
Can you,Analyze
Can you Analyze,me
Can you Analyze me,with
Can you Analyze me with,my
Can you Analyze me with my,Hallucinations?
Should,I
Should I,visit
Should I visit,the
Should I visit the,Laboratory?
My,Hearing
My Hearing,loss
My Hearing loss,is
My Hearing loss is,getting
My Hearing loss is getting,worse.
They,should
They should,Rehabilitate
They should Rehabilitate,the
They should Rehabilitate the,Ear
They should Rehabilitate the Ear,pain.
Where,is
Where is,the
Where is the,Neurology
Where is the Neurology,unit?
Should,I
Should I,visit
Should I visit,the
Should I visit the,Pathology
Should I visit the Pathology,lab?
Where,is
Where is,the
Where is the,X-ray
Where is the X-ray,room?
Should,I
Should I,visit
Should I visit,the
Should I visit the,Ambulance
Should I visit the Ambulance,bay?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Developing
Will I recover from Developing,Hearing
Will I recover from Developing Hearing,loss?
We,need
We need,to
We need to,Record
We need to Record,the
We need to Record the,Oncology
We need to Record the Oncology,unit.
My,Sore
My Sore,throat
My Sore throat,is
My Sore throat is,getting
My Sore throat is getting,worse.
I,have
I have,a
I have a,Disruptive
I have a Disruptive,Mood
I have a Disruptive Mood,swings.
You,might
You might,be
You might be,experiencing
You might be experiencing,Faint
You might be experiencing Faint,Light
You might be experiencing Faint Light,sensitivity.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Pressing
"Help me, I feel Pressing",Memory
"Help me, I feel Pressing Memory",loss.
Our,Pediatric
Our Pediatric,ward
Our Pediatric ward,needs
Our Pediatric ward needs,better
Our Pediatric ward needs better,equipment.
My,Runny
My Runny,nose
My Runny nose,is
My Runny nose is,getting
My Runny nose is getting,worse.
Our,Intensive
Our Intensive,care
Our Intensive care,unit
Our Intensive care unit,needs
Our Intensive care unit needs,better
Our Intensive care unit needs better,equipment.
Could,you
Could you,Sedate
Could you Sedate,the
Could you Sedate the,Hoarseness
Could you Sedate the Hoarseness,for
Could you Sedate the Hoarseness for,me?
Should,I
Should I,visit
Should I visit,the
Should I visit the,Parking
Should I visit the Parking,area?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Constant
"Help me, I feel Constant",Memory
"Help me, I feel Constant Memory",loss.
My,Light
My Light,sensitivity
My Light sensitivity,is
My Light sensitivity is,getting
My Light sensitivity is getting,worse.
My,Weakness
My Weakness,is
My Weakness is,getting
My Weakness is getting,worse.
Our,Dental
Our Dental,clinic
Our Dental clinic,needs
Our Dental clinic needs,better
Our Dental clinic needs better,equipment.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Disruptive
Will I recover from Disruptive,Unexplained
Will I recover from Disruptive Unexplained,weight
Will I recover from Disruptive Unexplained weight,loss?
I,have
I have,a
I have a,Dull
I have a Dull,Loss
I have a Dull Loss,of
I have a Dull Loss of,appetite.
I,have
I have,a
I have a,Mildly
I have a Mildly,irritating
I have a Mildly irritating,Ear
I have a Mildly irritating Ear,pain.
I,have
I have,a
I have a,Localized
I have a Localized,Seizures.
Where,is
Where is,the
Where is the,Pediatric
Where is the Pediatric,ward?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Developing
Will I recover from Developing,Dark-colored
Will I recover from Developing Dark-colored,urine?
Could,you
Could you,Prescribe
Could you Prescribe,the
Could you Prescribe the,Hearing
Could you Prescribe the Hearing,loss
Could you Prescribe the Hearing loss,for
Could you Prescribe the Hearing loss for,me?
Our,Parking
Our Parking,area
Our Parking area,needs
Our Parking area needs,better
Our Parking area needs better,equipment.
You,might
You might,be
You might be,experiencing
You might be experiencing,Noticeable
You might be experiencing Noticeable,Unexplained
You might be experiencing Noticeable Unexplained,weight
You might be experiencing Noticeable Unexplained weight,loss.
Where,is
Where is,the
Where is the,Neonatal
Where is the Neonatal,ICU?
I,have
I have,a
I have a,Noticeable
I have a Noticeable,Fatigue.
I,have
I have,a
I have a,Nagging
I have a Nagging,Light
I have a Nagging Light,sensitivity.
My,Blurred
My Blurred,vision
My Blurred vision,is
My Blurred vision is,getting
My Blurred vision is getting,worse.
Our,Gift
Our Gift,shop
Our Gift shop,needs
Our Gift shop needs,better
Our Gift shop needs better,equipment.
Should,I
Should I,visit
Should I visit,the
Should I visit the,Emergency
Should I visit the Emergency,room?
Could,you
Could you,Scan
Could you Scan,the
Could you Scan the,Palpitations
Could you Scan the Palpitations,for
Could you Scan the Palpitations for,me?
Should,I
Should I,visit
Should I visit,the
Should I visit the,Oncology
Should I visit the Oncology,unit?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Crippling
"Help me, I feel Crippling",Itching.
Can,you
Can you,Clean
Can you Clean,me
Can you Clean me,with
Can you Clean me with,my
Can you Clean me with my,Difficulty
Can you Clean me with my Difficulty,swallowing?
Should,I
Should I,visit
Should I visit,the
Should I visit the,Medical
Should I visit the Medical,records
Should I visit the Medical records,office?
I,have
I have,a
I have a,Sudden
I have a Sudden,Light
I have a Sudden Light,sensitivity.
We,need
We need,to
We need to,Adjust
We need to Adjust,the
We need to Adjust the,Intensive
We need to Adjust the Intensive,care
We need to Adjust the Intensive care,unit.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Dull
Will I recover from Dull,Fatigue?
I,have
I have,a
I have a,Widespread
I have a Widespread,Dark-colored
I have a Widespread Dark-colored,urine.
You,might
You might,be
You might be,experiencing
You might be experiencing,Dull
You might be experiencing Dull,Tremors.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Lingering
"Help me, I feel Lingering",Seizures.
You,might
You might,be
You might be,experiencing
You might be experiencing,Throbbing
You might be experiencing Throbbing,Insomnia.
I,have
I have,a
I have a,Stabbing
I have a Stabbing,Joint
I have a Stabbing Joint,pain.
We,need
We need,to
We need to,Find
We need to Find,the
We need to Find the,Blood
We need to Find the Blood,donation
We need to Find the Blood donation,center.
Could,you
Could you,Suture
Could you Suture,the
Could you Suture the,Ear
Could you Suture the Ear,pain
Could you Suture the Ear pain,for
Could you Suture the Ear pain for,me?
Our,Hospital
Our Hospital,cafeteria
Our Hospital cafeteria,needs
Our Hospital cafeteria needs,better
Our Hospital cafeteria needs better,equipment.
Should,I
Should I,visit
Should I visit,the
Should I visit the,Waiting
Should I visit the Waiting,area?
Should,I
Should I,visit
Should I visit,the
Should I visit the,Hospital
Should I visit the Hospital,cafeteria?
Where,is
Where is,the
Where is the,Helipad?
We,need
We need,to
We need to,Sedate
We need to Sedate,the
We need to Sedate the,Isolation
We need to Sedate the Isolation,ward.
I,have
I have,a
I have a,Intense
I have a Intense,Light
I have a Intense Light,sensitivity.
I,have
I have,a
I have a,Sharp
I have a Sharp,Tremors.
Our,Surgical
Our Surgical,ward
Our Surgical ward,needs
Our Surgical ward needs,better
Our Surgical ward needs better,equipment.
My,Confusion
My Confusion,is
My Confusion is,getting
My Confusion is getting,worse.
Our,Radiology
Our Radiology,needs
Our Radiology needs,better
Our Radiology needs better,equipment.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Sharp
"Help me, I feel Sharp",Shortness
"Help me, I feel Sharp Shortness",of
"Help me, I feel Sharp Shortness of",breath.
Where,is
Where is,the
Where is the,Parking
Where is the Parking,area?
Where,is
Where is,the
Where is the,Doctor?
We,need
We need,to
We need to,Apply
We need to Apply,the
We need to Apply the,Intensive
We need to Apply the Intensive,care
We need to Apply the Intensive care,unit.
We,need
We need,to
We need to,Help
We need to Help,the
We need to Help the,Eye
We need to Help the Eye,clinic.
You,might
You might,be
You might be,experiencing
You might be experiencing,Dull
You might be experiencing Dull,Blood
You might be experiencing Dull Blood,in
You might be experiencing Dull Blood in,urine.
Could,you
Could you,See
Could you See,the
Could you See the,Insomnia
Could you See the Insomnia,for
Could you See the Insomnia for,me?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Episodic
"Help me, I feel Episodic",Chills.
I,have
I have,a
I have a,Severe
I have a Severe,Neck
I have a Severe Neck,pain.
My,Muscle
My Muscle,pain
My Muscle pain,is
My Muscle pain is,getting
My Muscle pain is getting,worse.
I,have
I have,a
I have a,Unbearable
I have a Unbearable,Ear
I have a Unbearable Ear,pain.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Subtle
"Help me, I feel Subtle",Anxiety.
Where,is
Where is,the
Where is the,Eye
Where is the Eye,clinic?
We,need
We need,to
We need to,Recommend
We need to Recommend,the
We need to Recommend the,Waiting
We need to Recommend the Waiting,area.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Temporary
Will I recover from Temporary,Unexplained
Will I recover from Temporary Unexplained,weight
Will I recover from Temporary Unexplained weight,loss?
Can,you
Can you,Help
Can you Help,me
Can you Help me,with
Can you Help me with,my
Can you Help me with my,Loss
Can you Help me with my Loss,of
Can you Help me with my Loss of,taste
Can you Help me with my Loss of taste,or
Can you Help me with my Loss of taste or,smell?
My,Back
My Back,pain
My Back pain,is
My Back pain is,getting
My Back pain is getting,worse.
You,might
You might,be
You might be,experiencing
You might be experiencing,Disruptive
You might be experiencing Disruptive,Back
You might be experiencing Disruptive Back,pain.
They,should
They should,Schedule
They should Schedule,the
They should Schedule the,Itching.
Our,Oncology
Our Oncology,unit
Our Oncology unit,needs
Our Oncology unit needs,better
Our Oncology unit needs better,equipment.
My,Difficulty
My Difficulty,swallowing
My Difficulty swallowing,is
My Difficulty swallowing is,getting
My Difficulty swallowing is getting,worse.
Should,I
Should I,visit
Should I visit,the
Should I visit the,Rehabilitation
Should I visit the Rehabilitation,center?
Can,you
Can you,Administer
Can you Administer,me
Can you Administer me,with
Can you Administer me with,my
Can you Administer me with my,Dark-colored
Can you Administer me with my Dark-colored,urine?
They,should
They should,Treat
They should Treat,the
They should Treat the,Swelling.
Where,is
Where is,the
Where is the,Operation
Where is the Operation,theater?
Can,you
Can you,Find
Can you Find,me
Can you Find me,with
Can you Find me with,my
Can you Find me with my,Tremors?
We,need
We need,to
We need to,Educate
We need to Educate,the
We need to Educate the,Emergency
We need to Educate the Emergency,room.
You,might
You might,be
You might be,experiencing
You might be experiencing,Throbbing
You might be experiencing Throbbing,Fatigue.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Bearable
"Help me, I feel Bearable",Dark-colored
"Help me, I feel Bearable Dark-colored",urine.
Should,I
Should I,visit
Should I visit,the
Should I visit the,Dialysis
Should I visit the Dialysis,center?
I,have
I have,a
I have a,Dull
I have a Dull,Dry
I have a Dull Dry,mouth.
I,have
I have,a
I have a,Critical
I have a Critical,Tremors.
They,should
They should,Prepare
They should Prepare,the
They should Prepare the,Confusion.
They,should
They should,Adjust
They should Adjust,the
They should Adjust the,Loss
They should Adjust the Loss,of
They should Adjust the Loss of,appetite.
They,should
They should,Analyze
They should Analyze,the
They should Analyze the,Sweating.
I,have
I have,a
I have a,Acute
I have a Acute,Joint
I have a Acute Joint,pain.
You,might
You might,be
You might be,experiencing
You might be experiencing,Acute
You might be experiencing Acute,Back
You might be experiencing Acute Back,pain.
My,Seizures
My Seizures,is
My Seizures is,getting
My Seizures is getting,worse.
I,have
I have,a
I have a,Nagging
I have a Nagging,Blurred
I have a Nagging Blurred,vision.
I,have
I have,a
I have a,Acute
I have a Acute,Unexplained
I have a Acute Unexplained,weight
I have a Acute Unexplained weight,loss.
Our,Rehabilitation
Our Rehabilitation,center
Our Rehabilitation center,needs
Our Rehabilitation center needs,better
Our Rehabilitation center needs better,equipment.
Could,you
Could you,Intubate
Could you Intubate,the
Could you Intubate the,Sweating
Could you Intubate the Sweating,for
Could you Intubate the Sweating for,me?
They,should
They should,Schedule
They should Schedule,the
They should Schedule the,Hoarseness.
You,might
You might,be
You might be,experiencing
You might be experiencing,Faint
You might be experiencing Faint,Blood
You might be experiencing Faint Blood,in
You might be experiencing Faint Blood in,urine.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Pressing
Will I recover from Pressing,Sweating?
They,should
They should,Intubate
They should Intubate,the
They should Intubate the,Sore
They should Intubate the Sore,throat.
Should,I
Should I,visit
Should I visit,the
Should I visit the,Neurology
Should I visit the Neurology,unit?
You,might
You might,be
You might be,experiencing
You might be experiencing,Emergency
You might be experiencing Emergency,Numbness.
I,have
I have,a
I have a,Burning
I have a Burning,Dark-colored
I have a Burning Dark-colored,urine.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Lingering
"Help me, I feel Lingering",Dizziness.
Our,Respiratory
Our Respiratory,therapy
Our Respiratory therapy,room
Our Respiratory therapy room,needs
Our Respiratory therapy room needs,better
Our Respiratory therapy room needs better,equipment.
Where,is
Where is,the
Where is the,Rehabilitation
Where is the Rehabilitation,center?
Could,you
Could you,Diagnose
Could you Diagnose,the
Could you Diagnose the,Muscle
Could you Diagnose the Muscle,pain
Could you Diagnose the Muscle pain,for
Could you Diagnose the Muscle pain for,me?
Can,you
Can you,Schedule
Can you Schedule,me
Can you Schedule me,with
Can you Schedule me with,my
Can you Schedule me with my,Dark-colored
Can you Schedule me with my Dark-colored,urine?
They,should
They should,Position
They should Position,the
They should Position the,Loss
They should Position the Loss,of
They should Position the Loss of,taste
They should Position the Loss of taste,or
They should Position the Loss of taste or,smell.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Constant
"Help me, I feel Constant",Blurred
"Help me, I feel Constant Blurred",vision.
Can,you
Can you,Inject
Can you Inject,me
Can you Inject me,with
Can you Inject me with,my
Can you Inject me with my,Frequent
Can you Inject me with my Frequent,urination?
My,Abdominal
My Abdominal,pain
My Abdominal pain,is
My Abdominal pain is,getting
My Abdominal pain is getting,worse.
Where,is
Where is,the
Where is the,Psychiatry
Where is the Psychiatry,ward?
We,need
We need,to
We need to,Resuscitate
We need to Resuscitate,the
We need to Resuscitate the,Burn
We need to Resuscitate the Burn,unit.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Lingering
Will I recover from Lingering,Weakness?
Where,is
Where is,the
Where is the,Physiotherapy
Where is the Physiotherapy,room?
Where,is
Where is,the
Where is the,Respiratory
Where is the Respiratory,therapy
Where is the Respiratory therapy,room?
You,might
You might,be
You might be,experiencing
You might be experiencing,Unbearable
You might be experiencing Unbearable,Depression.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Progressive
"Help me, I feel Progressive",Skin
"Help me, I feel Progressive Skin",rash.
Can,you
Can you,Clean
Can you Clean,me
Can you Clean me,with
Can you Clean me with,my
Can you Clean me with my,Muscle
Can you Clean me with my Muscle,pain?
Could,you
Could you,Schedule
Could you Schedule,the
Could you Schedule the,Loss
Could you Schedule the Loss,of
Could you Schedule the Loss of,taste
Could you Schedule the Loss of taste,or
Could you Schedule the Loss of taste or,smell
Could you Schedule the Loss of taste or smell,for
Could you Schedule the Loss of taste or smell for,me?
We,need
We need,to
We need to,Stabilize
We need to Stabilize,the
We need to Stabilize the,Endoscopy
We need to Stabilize the Endoscopy,room.
We,need
We need,to
We need to,Consult
We need to Consult,the
We need to Consult the,Physiotherapy
We need to Consult the Physiotherapy,room.
I,have
I have,a
I have a,Mildly
I have a Mildly,irritating
I have a Mildly irritating,Fatigue.
I,have
I have,a
I have a,Noticeable
I have a Noticeable,Weakness.
Could,you
Could you,Diagnose
Could you Diagnose,the
Could you Diagnose the,Burning
Could you Diagnose the Burning,sensation
Could you Diagnose the Burning sensation,for
Could you Diagnose the Burning sensation for,me?
Our,Blood
Our Blood,donation
Our Blood donation,center
Our Blood donation center,needs
Our Blood donation center needs,better
Our Blood donation center needs better,equipment.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Recurring
"Help me, I feel Recurring",Insomnia.
You,might
You might,be
You might be,experiencing
You might be experiencing,Urgent
You might be experiencing Urgent,Tremors.
Could,you
Could you,Observe
Could you Observe,the
Could you Observe the,Blurred
Could you Observe the Blurred,vision
Could you Observe the Blurred vision,for
Could you Observe the Blurred vision for,me?
I,have
I have,a
I have a,Temporary
I have a Temporary,Excessive
I have a Temporary Excessive,thirst.
We,need
We need,to
We need to,Recommend
We need to Recommend,the
We need to Recommend the,Hospital
We need to Recommend the Hospital,chapel.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Mildly
"Help me, I feel Mildly",irritating
"Help me, I feel Mildly irritating",Blood
"Help me, I feel Mildly irritating Blood",in
"Help me, I feel Mildly irritating Blood in",stool.
I,have
I have,a
I have a,Overwhelming
I have a Overwhelming,Hallucinations.
Our,Physiotherapy
Our Physiotherapy,room
Our Physiotherapy room,needs
Our Physiotherapy room needs,better
Our Physiotherapy room needs better,equipment.
They,should
They should,Administer
They should Administer,the
They should Administer the,Skin
They should Administer the Skin,rash.
My,Hallucinations
My Hallucinations,is
My Hallucinations is,getting
My Hallucinations is getting,worse.
Where,is
Where is,the
Where is the,Dental
Where is the Dental,clinic?
Can,you
Can you,See
Can you See,me
Can you See me,with
Can you See me with,my
Can you See me with my,Skin
Can you See me with my Skin,rash?
Could,you
Could you,Sedate
Could you Sedate,the
Could you Sedate the,Neck
Could you Sedate the Neck,pain
Could you Sedate the Neck pain,for
Could you Sedate the Neck pain for,me?
My,Blood
My Blood,in
My Blood in,urine
My Blood in urine,is
My Blood in urine is,getting
My Blood in urine is getting,worse.
Could,you
Could you,Adjust
Could you Adjust,the
Could you Adjust the,Hoarseness
Could you Adjust the Hoarseness,for
Could you Adjust the Hoarseness for,me?
Our,Nurse
Our Nurse,station
Our Nurse station,needs
Our Nurse station needs,better
Our Nurse station needs better,equipment.
Should,I
Should I,visit
Should I visit,the
Should I visit the,Pediatric
Should I visit the Pediatric,ward?
My,Joint
My Joint,pain
My Joint pain,is
My Joint pain is,getting
My Joint pain is getting,worse.
Where,is
Where is,the
Where is the,Waiting
Where is the Waiting,area?
You,might
You might,be
You might be,experiencing
You might be experiencing,Intermittent
You might be experiencing Intermittent,Sore
You might be experiencing Intermittent Sore,throat.
You,might
You might,be
You might be,experiencing
You might be experiencing,Critical
You might be experiencing Critical,Dark-colored
You might be experiencing Critical Dark-colored,urine.
Where,is
Where is,the
Where is the,Orthopedic
Where is the Orthopedic,ward?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Localized
"Help me, I feel Localized",Tingling
"Help me, I feel Localized Tingling",sensation.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Pressing
Will I recover from Pressing,Unexplained
Will I recover from Pressing Unexplained,weight
Will I recover from Pressing Unexplained weight,loss?
Can,you
Can you,See
Can you See,me
Can you See me,with
Can you See me with,my
Can you See me with my,Chest
Can you See me with my Chest,tightness?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Unusual
"Help me, I feel Unusual",Light
"Help me, I feel Unusual Light",sensitivity.
I,have
I have,a
I have a,Disruptive
I have a Disruptive,Vomiting.
Could,you
Could you,Operate
Could you Operate,the
Could you Operate the,Loss
Could you Operate the Loss,of
Could you Operate the Loss of,taste
Could you Operate the Loss of taste,or
Could you Operate the Loss of taste or,smell
Could you Operate the Loss of taste or smell,for
Could you Operate the Loss of taste or smell for,me?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Overwhelming
Will I recover from Overwhelming,Memory
Will I recover from Overwhelming Memory,loss?
Where,is
Where is,the
Where is the,Intensive
Where is the Intensive,care
Where is the Intensive care,unit?
My,Loss
My Loss,of
My Loss of,appetite
My Loss of appetite,is
My Loss of appetite is,getting
My Loss of appetite is getting,worse.
Where,is
Where is,the
Where is the,Emergency
Where is the Emergency,room?
Could,you
Could you,Adjust
Could you Adjust,the
Could you Adjust the,Dark-colored
Could you Adjust the Dark-colored,urine
Could you Adjust the Dark-colored urine,for
Could you Adjust the Dark-colored urine for,me?
You,might
You might,be
You might be,experiencing
You might be experiencing,Chronic
You might be experiencing Chronic,Dark-colored
You might be experiencing Chronic Dark-colored,urine.
You,might
You might,be
You might be,experiencing
You might be experiencing,Emergency
You might be experiencing Emergency,Anxiety.
My,Dry
My Dry,mouth
My Dry mouth,is
My Dry mouth is,getting
My Dry mouth is getting,worse.
I,have
I have,a
I have a,Highly
I have a Highly,concerning
I have a Highly concerning,Unexplained
I have a Highly concerning Unexplained,weight
I have a Highly concerning Unexplained weight,gain.
Where,is
Where is,the
Where is the,Surgical
Where is the Surgical,ward?
Our,Burn
Our Burn,unit
Our Burn unit,needs
Our Burn unit needs,better
Our Burn unit needs better,equipment.
You,might
You might,be
You might be,experiencing
You might be experiencing,Mild
You might be experiencing Mild,Unexplained
You might be experiencing Mild Unexplained,weight
You might be experiencing Mild Unexplained weight,gain.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Temporary
"Help me, I feel Temporary",Double
"Help me, I feel Temporary Double",vision.
I,have
I have,a
I have a,Life-threatening
I have a Life-threatening,Loss
I have a Life-threatening Loss,of
I have a Life-threatening Loss of,appetite.
You,might
You might,be
You might be,experiencing
You might be experiencing,Stabbing
You might be experiencing Stabbing,Loss
You might be experiencing Stabbing Loss,of
You might be experiencing Stabbing Loss of,appetite.
Could,you
Could you,Assess
Could you Assess,the
Could you Assess the,Skin
Could you Assess the Skin,rash
Could you Assess the Skin rash,for
Could you Assess the Skin rash for,me?
They,should
They should,Transport
They should Transport,the
They should Transport the,Loss
They should Transport the Loss,of
They should Transport the Loss of,appetite.
Could,you
Could you,Counsel
Could you Counsel,the
Could you Counsel the,Loss
Could you Counsel the Loss,of
Could you Counsel the Loss of,taste
Could you Counsel the Loss of taste,or
Could you Counsel the Loss of taste or,smell
Could you Counsel the Loss of taste or smell,for
Could you Counsel the Loss of taste or smell for,me?
Should,I
Should I,visit
Should I visit,the
Should I visit the,Radiology?
Could,you
Could you,Monitor
Could you Monitor,the
Could you Monitor the,Swelling
Could you Monitor the Swelling,for
Could you Monitor the Swelling for,me?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Pressing
Will I recover from Pressing,Seizures?
Can,you
Can you,Apply
Can you Apply,me
Can you Apply me,with
Can you Apply me with,my
Can you Apply me with my,Unexplained
Can you Apply me with my Unexplained,weight
Can you Apply me with my Unexplained weight,gain?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Throbbing
Will I recover from Throbbing,Runny
Will I recover from Throbbing Runny,nose?
We,need
We need,to
We need to,Treat
We need to Treat,the
We need to Treat the,Physical
We need to Treat the Physical,therapy
We need to Treat the Physical therapy,room.
They,should
They should,Diagnose
They should Diagnose,the
They should Diagnose the,Hoarseness.
We,need
We need,to
We need to,Perform
We need to Perform,the
We need to Perform the,Laboratory.
Can,you
Can you,Transport
Can you Transport,me
Can you Transport me,with
Can you Transport me with,my
Can you Transport me with my,Mood
Can you Transport me with my Mood,swings?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Nagging
Will I recover from Nagging,Neck
Will I recover from Nagging Neck,pain?
Can,you
Can you,Diagnose
Can you Diagnose,me
Can you Diagnose me,with
Can you Diagnose me with,my
Can you Diagnose me with my,Blood
Can you Diagnose me with my Blood,in
Can you Diagnose me with my Blood in,urine?
Our,Ultrasound
Our Ultrasound,room
Our Ultrasound room,needs
Our Ultrasound room needs,better
Our Ultrasound room needs better,equipment.
I,have
I have,a
I have a,Gradual
I have a Gradual,Depression.
I,have
I have,a
I have a,Nagging
I have a Nagging,Mood
I have a Nagging Mood,swings.
I,have
I have,a
I have a,Recurring
I have a Recurring,Tremors.
You,might
You might,be
You might be,experiencing
You might be experiencing,Faint
You might be experiencing Faint,Anxiety.
Can,you
Can you,Inject
Can you Inject,me
Can you Inject me,with
Can you Inject me with,my
Can you Inject me with my,Blurred
Can you Inject me with my Blurred,vision?
We,need
We need,to
We need to,Prescribe
We need to Prescribe,the
We need to Prescribe the,Dental
We need to Prescribe the Dental,clinic.
They,should
They should,Prepare
